timestamp_str,SFN,SFN_p,Slot,Slot_p,CC,CC_p,HARQ,HARQ_p,MCS,MCS_p,CRC,CRC_p,ReTx,ReTx_p,NDI,NDI_p,threshold,anomaly_score,distance_from_threshold
160.csv;09:41:12.862-2024/12/05;477;10,477,472,10,8,0,0,2,5,29,32,0,0,4,4,1,1,0.015417639557754822,0.016371135,0.0009534951108338165
155.csv;03:48:59.859-2024/10/29;156;15,156,50,15,14,0,0,7,7,31,33,1,1,2,2,1,1,0.015417639557754822,0.016370283,0.0009526438820006179
160.csv;09:41:37.433-2024/12/05;886;15,886,868,15,12,0,0,4,5,29,30,1,1,3,3,1,1,0.015417639557754822,0.016369242,0.0009516026633621978
160.csv;06:48:15.092-2024/12/05;11;0,11,224,0,1,1,1,4,4,29,29,1,1,2,2,1,1,0.015417639557754822,0.01636919,0.0009515505092980193
160.csv;07:51:37.666-2024/12/05;365;0,365,367,0,-1,0,0,7,7,29,32,1,1,2,2,1,1,0.015417639557754822,0.016360575,0.0009429357754828262
155.csv;03:48:55.723-2024/10/29;767;0,767,865,0,-1,0,0,11,12,31,32,1,1,2,2,1,1,0.015417639557754822,0.016360344,0.0009427048074843215
160.csv;07:53:23.780-2024/12/05;736;6,736,660,6,6,0,0,1,4,28,30,0,0,4,3,1,1,0.015417639557754822,0.016359834,0.0009421944427134323
160.csv;09:17:06.001-2024/12/05;175;5,175,94,5,4,0,0,8,9,28,31,1,1,2,2,1,1,0.015417639557754822,0.016359651,0.0009420119034888076
160.csv;07:40:01.169-2024/12/05;347;5,347,258,5,5,0,0,7,8,30,32,1,1,2,2,0,0,0.015417639557754822,0.016356729,0.0009390894132496642
157.csv;04:04:22.331-2024/10/29;244;1,244,278,1,3,1,1,13,11,29,31,1,1,3,3,0,0,0.015417639557754822,0.016355412,0.000937772523129158
160.csv;08:31:04.095-2024/12/05;464;8,464,522,8,9,0,0,2,5,29,30,0,0,3,3,1,1,0.015417639557754822,0.016355122,0.0009374819504858779
136.csv;18:51:14.536-2024/01/16;252;9,252,285,9,10,1,1,5,3,13,13,1,1,1,1,1,1,0.015417639557754822,0.016354404,0.000936764832103424
160.csv;08:52:26.955-2024/12/05;750;10,750,836,10,10,0,0,2,1,28,30,1,1,2,2,0,0,0.015417639557754822,0.016352806,0.0009351666825653838
157.csv;04:04:21.721-2024/10/29;183;1,183,250,1,4,1,1,8,8,28,29,1,1,4,4,0,0,0.015417639557754822,0.016351352,0.0009337119567038345
158.csv;08:03:30.041-2024/12/06;430;6,430,434,6,8,0,0,14,13,29,32,1,1,3,3,1,1,0.015417639557754822,0.016351087,0.0009334474610926437
160.csv;06:51:45.855-2024/12/05;607;8,607,549,8,6,0,0,3,6,28,31,0,0,4,4,1,1,0.015417639557754822,0.016346883,0.0009292434709908294
160.csv;06:59:20.318-2024/12/05;997;15,997,816,15,10,0,0,14,11,28,30,1,1,4,4,0,0,0.015417639557754822,0.016336203,0.0009185630637051391
160.csv;08:15:35.227-2024/12/05;761;5,761,652,5,6,0,0,9,9,28,30,0,0,4,4,0,0,0.015417639557754822,0.01633134,0.0009136996972204971
160.csv;07:14:06.110-2024/12/05;489;2,489,485,2,3,0,0,8,8,28,32,0,0,4,4,0,0,0.015417639557754822,0.016326258,0.000908618401253395
160.csv;08:23:07.559-2024/12/05;938;10,938,778,10,8,0,0,6,8,28,29,0,0,4,4,1,1,0.015417639557754822,0.016325362,0.0009077224689366149
160.csv;07:22:22.431-2024/12/05;969;6,969,865,6,7,0,0,1,4,28,32,1,1,3,3,0,0,0.015417639557754822,0.016324548,0.000906908493006401
158.csv;08:03:23.110-2024/12/06;761;5,761,649,5,4,0,0,5,6,28,29,0,0,4,4,1,1,0.015417639557754822,0.01632247,0.0009048297810198593
160.csv;08:15:35.375-2024/12/05;776;5,776,684,5,5,0,0,7,8,28,33,0,0,4,4,1,1,0.015417639557754822,0.016322417,0.0009047776269556808
101.csv;10:08:28.098-2024/09/06;225;8,225,210,8,6,1,1,13,13,21,28,1,1,2,2,0,0,0.015417639557754822,0.01632223,0.0009045913624407577
160.csv;09:03:22.498-2024/12/05;768;15,768,766,15,12,0,0,15,13,30,32,0,0,3,3,0,0,0.015417639557754822,0.016321197,0.0009035575943829345
160.csv;08:46:07.156-2024/12/05;658;6,658,604,6,6,0,0,3,6,29,31,0,0,4,4,0,0,0.015417639557754822,0.01631951,0.0009018700378777313
160.csv;09:01:00.767-2024/12/05;931;15,931,718,15,11,0,0,14,12,29,31,1,1,4,4,1,1,0.015417639557754822,0.016312491,0.000894851590955429
157.csv;04:04:21.871-2024/10/29;198;3,198,221,3,4,1,1,9,10,28,31,1,1,3,3,0,0,0.015417639557754822,0.016311701,0.0008940618294121551
160.csv;08:53:31.299-2024/12/05;17;0,17,228,0,3,0,0,14,12,30,28,1,1,4,4,0,0,0.015417639557754822,0.016310511,0.0008928715991617965
160.csv;09:41:10.751-2024/12/05;266;7,266,338,7,6,0,0,8,8,29,31,0,0,4,4,1,1,0.015417639557754822,0.016309788,0.0008921488928438949
160.csv;08:33:14.745-2024/12/05;217;5,217,152,5,5,0,0,6,7,29,31,1,1,2,2,0,0,0.015417639557754822,0.01630937,0.0008917297976853179
160.csv;07:14:41.349-2024/12/05;941;0,941,810,0,4,0,0,8,9,29,28,0,0,4,4,1,1,0.015417639557754822,0.016308447,0.0008908077883364486
158.csv;08:17:48.391-2024/12/06;249;5,249,205,5,4,0,0,4,4,29,32,1,1,2,2,1,1,0.015417639557754822,0.016306072,0.0008884329157711791
160.csv;09:41:10.835-2024/12/05;274;15,274,346,15,10,0,0,7,9,29,30,0,0,4,4,0,0,0.015417639557754822,0.016305406,0.0008877660888077545
158.csv;08:12:04.453-2024/12/06;671;10,671,597,10,8,0,0,4,7,29,30,0,0,4,4,0,0,0.015417639557754822,0.01630377,0.0008861306863667297
155.csv;03:50:36.267-2024/10/29;581;15,581,511,15,12,0,0,15,14,0,5,0,0,2,2,0,0,0.015417639557754822,0.016302533,0.0008848938899876403
158.csv;08:09:45.682-2024/12/06;106;15,106,265,15,11,0,0,0,3,28,31,0,0,3,3,0,0,0.015417639557754822,0.016302248,0.000884608905279808
160.csv;09:26:11.746-2024/12/05;477;15,477,541,15,10,0,0,7,7,30,32,0,0,4,4,0,0,0.015417639557754822,0.016300598,0.0008829586016775894
157.csv;04:04:22.061-2024/10/29;217;0,217,311,0,3,1,1,12,10,29,28,1,1,4,4,1,1,0.015417639557754822,0.016299302,0.0008816622006537246
160.csv;09:40:18.095-2024/12/05;120;16,120,151,16,12,0,0,0,3,29,31,0,0,3,3,1,1,0.015417639557754822,0.016297389,0.0008797492640854644
160.csv;06:58:32.547-2024/12/05;316;13,316,390,13,9,0,0,15,13,28,30,1,1,4,4,1,1,0.015417639557754822,0.016293269,0.0008756290930153655
